,precision,recall,f1-score,support
Low,0.9863858069357345,0.9949853344687293,0.9906669089098384,73983.0
Medium,0.984870256106838,0.9747568754574925,0.9797874688613503,47815.0
High,0.9528162055335968,0.9178962398857686,0.935030303030303,4202.0
accuracy,0.9847380952380952,0.9847380952380952,0.9847380952380952,0.9847380952380952
macro avg,0.9746907561920564,0.9625461499373301,0.9684948936004972,126000.0
weighted avg,0.98469115988831,0.9847380952380952,0.9846828974509156,126000.0
