,precision,recall,f1-score,support
Low,0.9861893117982047,0.994333864083024,0.9902448414231466,369917.0
Medium,0.9842794390944416,0.9747525870650928,0.979492848346272,239074.0
High,0.9563351095322676,0.922604598029416,0.9391670906315865,21009.0
accuracy,0.9845111111111111,0.9845111111111111,0.9845111111111111,0.9845111111111111
macro avg,0.9756012868083047,0.963897016392511,0.9696349268003351,630000.0
weighted avg,0.9844689818899751,0.9845111111111111,0.9844613264084789,630000.0
